Day fraction since midnight on 11/26/2019	7 kPa (Pa)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PAC Flow Rate (mL/s)	drain control ()	Coagulant Pump ()	Clay Pump ()	clay pump flow rate (mL/s)	Water Pump ()
0.38272893	145.63705444	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.00224763	0.00000000
0.38278679	143.14505005	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.02731137	0.00000000
0.38284466	144.56784058	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.03069577	67.00071429
0.38290253	68.74365997	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.03341861	67.00071429
0.38296042	200.36967468	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.03715697	67.00071429
0.38301829	-93914.85156250	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.04021034	67.00071429
0.38307615	-77978.61718750	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.04394729	67.00071429
0.38313401	-53194.80468750	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.04700177	67.00071429
0.38319190	-36450.89843750	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.05005518	67.00071429
0.38324976	-23713.12304687	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.05312380	67.00071429
0.38330762	-12585.39257812	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.05686299	67.00071429
0.38336551	-6470.23828125	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.05958017	67.00071429
0.38342336	-3726.29321289	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.06331403	67.00071429
0.38348125	-2597.52270508	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.06636982	67.00071429
0.38353911	-2251.75366211	-999.00000000	-999.00000000	0.00363188	0.00000000	0.00000000	0.00000000	0.06942796	67.00071429
